Catagory,libnum,Title,Composer,Arranger,Copyright,Ensemble,Notes
LC,311,"BATTLE OF TRENTON (1792), THE","HEWITT, JAMES","ELKUS, JONATHAN",1975,Concert Band,
LC,407,FINALE FROM SYMPHONY NO.2,"IVES, CHARLES","ELKUS, JONATHAN",1974,Concert Band,
LC,310,NORWICH CADETS (1857),"GILMORE, PATRICK S.","ELKUS, JONATHAN",1975,Concert Band,
LC,450,CHILDREN'S MARCH - OVER THE HILLS AND FAR AWAY,"GRAINGER, PERCY A.","ERICKSON, FRANK",1919,Concert Band,
LC,78,FUGUE AND CHORALE ON YANKEE DOODLE,"THOMPSON, VIRGIL","ERICKSON, FRANK",1968,Concert Band,MISSING 1ST BASSOON
LC,177,REVERIE,"DEBUSSY, CLAUDE","ERICKSON, FRANK",1960,Concert Band,MISSING TENOR SAX; BARITONE SAX
LC,175,ROMEO AND JULIET,"TSCHAIKOWSKY, PETER I.","ERICKSON, FRANK",1960,Concert Band,MISSING SCORE; 1ST ALTO;TENOR SAX;BARI SAX; 2ND CORNET;TROMBONES; BARITONES
LC,323,"STRAVINSKY SUITE, A","STRAVINSKY, IGOR","ERICKSON, FRANK",1968,Concert Band,
LC,284,VARIATIONS ON A FOLK SONG,SHUMANN AND ERICKSON,"ERICKSON, FRANK",1958,Concert Band,MISSING ALTO; 1ST CORNET; ALL TROMBONE; B.C BARITONE; PERUCSSION
LC,443,WATER MUSIC SUITE,"HANDEL, G.F.","ERICKSON, FRANK",1985,Concert Band,
LC,4,ALBA SENTIMENTALE,"FASOLI, R.","FALCONE, LEONARD",1970,Concert Band,
LC,169,"PRELUDE TO ""AIDA""/PRELUDE TO LATRAVIATA-ACT III",VERDI,"FALCONE, LEONARD",1970,Concert Band,
LC,359,TORINO SYMPHONIC MARCH (THE RETURN FROM TURIN),"RIVELA, EMILIO","FALCONE, LEONARD",1977,Concert Band,
LC,171,PASSO DOPPIO SINFONICO,"MARINO, LEONARDO","FALCONE, NICHOLAS D.",1970,Concert Band,
LC,403,SYMPHONIC CONCERT MARCH,"BONELLI, G.","FALCONE, NICHOLAS D.",1968,Concert Band,
SB,156,Angel Eyes,"Brent, E; Dennis, M","Fedchock, John",1946,Jazz Ensemble,
SB,28,"GREAT ESCAPE, THE","FEDCHOCK, JOHN","FEDCHOCK, JOHN",1986,JAZZ ENSEMBLE,
SB,97,WOODY'S GOLD STAR,"FEDCHOCK, JOHN","FEDCHOCK, JOHN",1987,JAZZ ENSEMBLE,
LC,514,ARMY OF THE NILE,"ALFORD, KENNETH J.","Fennell, Frederick",1988,Concert Band,
LC,482,"BLACK HORSE TROOP, THE","SOUSA, JOHN PHILIP","FENNELL, FREDERICK",1974,Concert Band,MISSING SCORE
LC,511,COLONEL BOGEY,"ALFORD, KENNETH J.","Fennell, Frederick",1982,Concert Band,
LC,512,EL CAPITAN,"SOUSA, JOHN PHILIP","Fennell, Frederick",1989,Concert Band,
LC,513,"FAIREST OF THE FAIR, THE","SOUSA, JOHN PHILIP","Fennell, Frederick",1978,Concert Band,
LC,481,KING COTTON,"SOUSA, JOHN PHILIP","FENNELL, FREDERICK",1983,Concert Band,
LC,505,NATIONAL EMBLEM,"BAGLEY, E.E.","Fennell, Frederick",1981,Concert Band,MISSING SCORE;HORN 1
LC,459,"RIFLE REGIMENT MARCH, THE","SOUSA, J.P.","FENNELL, FREDERICK",1985,Concert Band,
LC,424,SABRE AND SPURS,"SOUSA, J.P.","FENNELL, FREDERICK",2005,Concert Band,
LC,516,"VANISHED ARMY, THE","ALFORD, KENNETH J.","Fennell, Frederick",1986,Concert Band,
LC,515,WASHINGTON POST,"SOUSA, JOHN PHILIP","Fennell, Frederick",1983,Concert Band,MISSING SCORE
LC,478,HIS HONOR,"FILLMORE, HENRY","FENNELL, FREDRICK",1978,Concert Band,
LC,108,LIGHT CAVALRY,"SUPPE, FRANZ von","FILLMORE, HENRY",1922,Concert Band,
M,103,REVEILLE,,"FILLMORE, HENRY",,,
M,103,"STAR SPANGLED BANNER, THE","SMITH, JOHN STAFFORD","FILLMORE, HENRY",,,
SB,258,Gotcha!,"Scott, Tom","Foley, Keith",1977,Jazz Ensemble,
LC,374,"GUADALCANAL MARCH (FROM ""VICTORY AT SEA"")","RODGERS, RICHARD","FORSBLAD, LELAND",1980,Concert Band,
LC,624,LIGHTNING FINGERS,"FILLMORE, HENRY","FOSTER, ROBERT",2012,Concert Band,SOLO CLARINET WITH BAND
LC,592,"Walking Frog, The","King, Karl","Foster, Robert E.",1993,Concert Band,
EN,50,GLAD RAGS SUITE,"BLAKE, J.HUBERT","FRACKENPHOL, ARTHUR",1974,BRASS QUINTET,
EN,52,RAGTIME SUITE,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1974,BRASS QUINTET,
EN,51,THREE SCOTT JOPLIN RAGS,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1973,BRASS QUINTET,SCORE ONLY (MISSING ALL PARTS)
EN,96,THREE SCOTT JOPLIN RAGS,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1973,BRASS QUINTET,MISSING SCORE
EN,118,BRANDENBURG SUITE NO. 1,"BACH, J.S.","FRACKENPOHL, ARTHUR",1981,BRASS QUINTET,MISSING SCORE
EN,128,COLONEL BOGEY MARCH,"ALFORD, KENNETH","FRACKENPOHL, ARTHUR",2000,BRASS QUINTET,
EN,201,RIFLE REGIMENT MARCH,"SOUSA, JOHN PHILLIP","FRACKENPOHL, ARTHUR",1982,BRASS QUINTET,MISSING SCORE; HORN
EN,126,UNDER THE DOUBLE EAGLE,"WAGNER, J.F.","FRACKENPOHL, ARTHUR",1988,BRASS QUINTET,
M,138,HIGH SOCIETY DIXIELAND MARCH,"STEELE, PORTER","FRANK, FRED",1961,,
LC,90,GYPSY FANTASY,"LISZT, FRANZ","FRANK, MARCEL G.",1971,Concert Band,
LC,168,"PRELUDE TO THE OPERA ""ALCESTE""","LULLY, JEAN BAPTISTE de","FRANK, MARCEL G.",1970,Concert Band,
MC,74,SKIP TO MY LOU,,"FRED, HERB",,Concert Band,
LC,277,FIFTEEN BACH CHORALES,"BACH, J.S","FRINK, GEORGE",1995,Concert Band,
MC,68,"TREASURE ISLAND, SOUNDS FROM","BRENNER, GEORGE","FULLER, FRANK R.",1949,Concert Band,
SB,149,STOP! THE RED LIGHT'S ON,"MILLER, ZAPS","FULLER, WALTER",1946,JAZZ ENSEMBLE,
M,211,GARRY OWEN MARCH,,"FULTON, JAMES M.",,,
MC,30,"GOIN' HOME-FROM THE SYM.""FROM THE NEW WORLD""","DVORAK, ANTONIN","FULTON, JAMES M.",,Concert Band,
EN,203,A NIGHTINGALE SANG IN BERKELEY SQUARE,MASCHWITZ/SHERWIN,"GALE, JACK",,BRASS QUINTET,MISSING SCORE
EN,186,ANGELS WE HAVE HEARD ON HIGH,TRADITIONAL,"GALE, JACK",1995,BRASS QUINTET,MISSING SCORE
EN,141,FLY ME TO THE MOON (IN OTHER WORDS),"HOWARD, BART","GALE, JACK",1954,BRASS QUINTET,MISSING SCORE
EN,191,IT CAME UPON A MIDNIGHT CLEAR,"WILLIS, RICHARD","GALE, JACK",1995,BRASS QUINTET,MISSING SCORE
EN,193,O LITTLE TOWN OF BETHLEHEM,"REDNER, LEWIS","GALE, JACK",1995,BRASS QUINTET,MISSING SCORE
EN,77,THATS A-PLENTY,TRADITIONAL,"GALE, JACK",1988,BRASS QUINTET,
EN,185,WE THREE KINGS,"HOPKINS, JOHN","GALE, JACK",1995,BRASS QUINTET,MISSING SCORE
EN,138,WEST SIDE STORY (SUITE FOR BRASS QUINTET),"BERNSTEIN, LEONARD","GALE, JACK",1957,BRASS QUINTET,MISSING SCORE
EN,192,WHAT CHILD IS THIS,TRADITIONAL,"GALE, JACK",1995,BRASS QUINTET,MISSING SCORE
EN,167,WHEN THE SAINTS GO MARCHING IN,TRADITIONAL,"GALE, JACK",2008,BRASS QUINTET,
MC,29,FANFARE AND RONDO,"PURCELL, HENRY","GARDNER, MAURICE",1957,Concert Band,
MC,56,"LA SULTANE SUITE, OVERTURE FROM","COUPERIN, FRANCOIS","GARDNER, MAURICE",1956,Concert Band,
LC,139,MARCHE ORIENTALE,"MUSSORGSKY, M.","GARDNER, MAURICE",1960,Concert Band,
LC,153,PURCELL SUITE,PURCELL-GARDNER,"GARDNER, MAURICE",1960,Concert Band,
MC,65,ROUMANIAN RHAPSODY,"ENESCO, GEORGES","GARDNER, MAURICE",1950,Concert Band,
LC,23,"TRIBUTE TO GLENN MILLER, A","MILLER, GLENN","GASS, HENRY",1954,Concert Band,
EN,39,ARIOSO,"BACH, J.S.","GEE, HARRY",1978,WOODWIND CHOIR,
LC,468,CONCERTPIECE NO. 2,"MENDELSSOHN, FELIX","GEE, HARRY",1964,Concert Band,
LC,96,LOHENGRIN (INTRO TO ACT III),"WAGNER, RICHARD",GEORGE DRUMM,1937,Concert Band,
LC,572,God Shed His Grace On Thee,,"Glover, Andrew",2002,Concert Band,
LC,581,Triad,"Richards, J. J.","Glover, Andrew",1951,Concert Band,
LC,292,TWO PRESIDENTIAL MARCHES,VARIOUS,"GOLDMAN, R.F. AND SMITH, R.",1965,Concert Band,
LC,82,FANTASIA IN G MAJOR,"BACH, J.S.","GOLDMAN, RICHARD FRANCO",1960,Concert Band,
LC,315,ANTHEM FROM AMERICA (1927),"BLOCH, ERNEST","GOLDMAN, RICHARD FRANKO",1975,Concert Band,MISSING 2ND FLUTE; CLARINET 1; 2ND & 4TH HORN IN F; OBOE; Eb CLARINET; BASS CLARINET; TENOR SAX; 1ST & 2ND TRUMPET; 3RD TROMBONE; TUBA; STRING BASS; HARP; DRUMS
M,223,"WASHINGTON'S GRAND MARCH, 1784",,"GOLDMAN, RICHARD FRANKO",1941,,
CS,16,SHENANDOAH,,"GOLDSMITH, OWEN",1973,,
M,112,CONGRESSIONAL HONORS MARCH,"KALER, OLIVER C. & KELLETT, D.T.","GOODALE, DAVID W.",,,
M,164,"SECRETARY OF THE ARMY MARCH, THE","KELLETT, D.T.","GOODALL, DAVID W.",,,
LC,608,Catch the Spirit,,"Goodwin, Dick",1988,Concert Band,
SB,21,"E.J. EXPRESS, THE","GOODWIN, GORDON","GOODWIN, GORDON",1986,JAZZ ENSEMBLE,
SB,100,ZIHUATANEJO,"FERGUSON, MAYNARD & HULTING, BILLY","GOODWIN, GORDON",1989,JAZZ ENSEMBLE,
LC,256,RUSTIC DANCE,"SMETANA, BEDRICH","GORDAN, PHILLIP",1972,Concert Band,
MB,27,TECHNICAL STUDIES FOR TROMBONE,"CLARKE, HERBERT","GORDON, CLAUDE",1976,TROMBONE METHOD,
LC,20,AIR AND MARCH,"PURCELL, HENRY","GORDON, PHILIP",1955,Concert Band,"MISSING OBOE;2ND CLARINET;3RD CLARINET;ALTO CLARINET;BASS CLARINET; BASSOON;2ND ALTO SAX; TENOR SAX; CORNET (1,2,3); BARITONE(TC/BC);STRING BASS; TIMPANI"
LC,48,EXCERPTS FROM BRIGADOON,"LOWE, FREDERICK","GORDON, PHILLIP",1957,Concert Band,
LC,170,SARABANDE AND GAVOTTE,"CORELLI, ARCANGELO","GORDON, PHILLIP",1955,Concert Band,
LC,261,"SPIRIT REJOICES, THE","BACH, J.S.","GORDON, PHILLIP",1971,Concert Band,
M,100,PUNJAUB MARCH,PAYNE,"GORDON, W.H.",,,
LC,299,"STAR SPANGLED BANNER, TWO 19TH CENTURY VIEWS OF TH","SMITH, JOHN STAFFORD","GOTTSCHALK, L.M., & BUCK, D.",1975,Concert Band,
LC,278,ADESTE FIDELES,TRADITIONAL,"GOULD, MORTON",1949,Concert Band,MISSING 2ND Eb CLARINET; CHIMES; PIANO
LC,273,"FIRST NOEL, THE",TRADITIONAL,"GOULD, MORTON",1949,Concert Band,MISSING BARITONE SAX; STRING BASS; TUBA; PIANO/HARP
LC,275,JINGLE BELLS,TRADITIONAL,"GOULD, MORTON",1952,Concert Band,MISSING 2ND FLUTE; 2ND OBOE; 2ND BASSOON
MC,2,ARTIST'S LIFE (KUNSTLERLEBEN),"STRAUSS, JOH.","GREISSINGER, F.H.",1895,Concert Band,
M,90,MILITARY SERIES,,"GRIEGEL, GEORGE F.",1941,,
LC,282,THREE SONGS FOR CHRISTMAS,TRADITIONAL,"GRUNDMAN, CLARE",1953,Concert Band,MISSING 2ND ALTO SAXOPHONE
LC,507,"BERNSTEIN TRIBUTE, A","BERSTEIN, LEONARD","Grundmap, Clare",1991,Concert Band,
EN,19,LARGHETTO AND MENUETTO,"MOZART, W.A.","GUENTHER, RALPH R.",1962,FLUTE TRIO,
EN,116,TWO SIXTEENTH CENTURY FLEMISH SONGS,TRADITIONAL,"HAAS, EUGENE",1964,BRASS QUINTET,
M,238,MARCHE SOLENNELLE,,HAENDEL,,,
EN,177,IN THE HALL OF THE MOUNTAIN KING,"GRIEG, EDVARD","HALFERTY, FRANK",2001,BARTIONE-TUBA QUARTET,
EN,176,SIMPLE GIFTS,TRADITIONAL,"HALFERTY, FRANK",2010,BRASS QUINTET,
SB,121,NO REGRETS,"HANSON, DAVE","HANSON, DAVE",1988,JAZZ ENSEMBLE,
EN,146,ENSEMBLE MUSIC FOR CHURCH & SCHOOL,VARIOUS,"HANSON, WESLEY",1964,ANY ENSEMBLE,"MISSING PARTS 4, 5, 6"
EN,237,HYMNSONG OF PHILIP BLISS,"HOLSINGER, DAVID","HARBINSON, WILLIAM",UNKNOWN,TROMBONE QUARTET,
LC,339,"THAIS, MEDITATION FROM",MASSENET,"HARDING, A. AUSTIN",1951,Concert Band,
EN,69,DER FREYSHUTZ,"WEBER, C.M. VON","HARRIS, A.E.",1933,HORN QUARTET,
SB,245,Darn That Dream,"Van Heusen, James","Harris, Matt",1939,Jazz Ensemble,
SB,31,HARCO SHUFFLE,"HARRIS, MATT","HARRIS, MATT",1986,JAZZ ENSEMBLE,MISSING DRUMS
SB,33,HEY TAXI,"HARRIS, MATT","HARRIS, MATT",1986,JAZZ ENSEMBLE,
SB,40,"LAST DIVE, THE","HARRIS, MATT","HARRIS, MATT",1984,JAZZ ENSEMBLE,
SB,59,POTATO BLUES,"HARRIS, MATT","HARRIS, MATT",1985,JAZZ ENSEMBLE,
SB,89,UP FOR AIR,"HARRIS, MATT","HARRIS, MATT",1989,JAZZ ENSEMBLE,
SB,93,WILLOW WEEP FOR ME,"RONELL, ANN","HARRIS, MATT",1988,JAZZ ENSEMBLE,
SB,94,WINDING WAY,"HARRIS, MATT","HARRIS, MATT",1986,JAZZ ENSEMBLE,
EN,232,AVE MARIA FROM OTELLO,"VERDI, GIUSEPPI","HARTMAN,SCOTT",1995,TROMBONE QUARTET,
MC,98,ALL GLORY BE TO GOD ON HIGH,"BACH, J.S.","HARVEY, RUSSELL",1946,Concert Band,
LC,165,PARADE OF THE CHARIOTEERS,"ROZSA, MIKLOS","HAWKINS, ROBERT",1960,Concert Band,MISSING BASS CLARINET; F HORN; 1ST BASSOON; TENOR SAX
MC,113,AIDA SELECTION,VERDI,"HAYES, AL",,Concert Band,
MC,84,"BEST-LOVED SOUTHERN MELODIES, THE",,"HAYES, AL",,Concert Band,
MC,86,THROW OUT THE LIFE-LINE - SACRED OVERTURE,,"HAYES, AL",,Concert Band,
SB,342,AN AMERICAN TRILOGY,VARIOUS,"HAYES, MARK",2003,JAZZ ENSEMBLE,
LC,134,MR. WONDERFUL,"BOCK, J./HOLOFCENER, L./WEISS, GEO.","HAYMAN, RICHARD",1956,Concert Band,
SP,5,"HAPPY WANDERER, THE","MOLLER, FRIEDRICH W.","HEINE, RICHARD W.",1954,,
LC,615,A GERSHWIN TRIBUTE TO LOVE,"GERSHWIN, GEORGE","HEISINGER, BRENT",2014,Concert Band,
LC,385,LES PRELUDES,"LISZT, FRANZ","HELFER, L.",1946,Concert Band,
EN,36,SONATA NO. 44,"SCARLATTI, DOMENICO","HEMKE, FRED",1978,SAX QUARTET,
EN,113,A FOGGY DAY/NICE WORK IF YOU CAN GET IT,"GERSHIWN, GEORGE","HENDERSON, LUTHER",1937,BRASS QUINTET,
EN,108,BEALE STREET BLUES,"HANDY, W.C.","HENDERSON, LUTHER",1992,BRASS QUINTET,
EN,133,"CANADIAN BRASS CHRISTMAS, A",TRADITIONAL,"HENDERSON, LUTHER",1988,BRASS QUINTET,
EN,105,HANDFUL OF KEYS,"WALLER, FATS","HENDERSON, LUTHER",1941,BRASS QUINTET,
EN,109,"SAINTS' HALLELUJAH, THE",TRADITIONAL,"HENDERSON, LUTHER",1986,BRASS QUINTET,MISSING SCORE
EN,184,THE CHRISTMAS SONG,"TORME,MEL","HENDERSON, LUTHER",,BRASS QUINTET,MISSING SCORE
EN,174,TUBA TIGER RAG,"DECOSTA, HARRY","HENDERSON, LUTHER",1960,BRASS QUINTET,
CS,3,AUNT DINAH'S QUILTING PARTY,,"HENDERSON, RAY",1958,,
M,227,NATIONAL SPIRIT MARCH,"HUMMEL, S.E.","HENNEMAN, HARRY O.",,,
LC,195,SECOND PUCCINIANA FANTASY,"PUCCINI,","HERFURTH, C. PAUL",1953,Concert Band,
LC,246,WHEN YOU WISH UPON A STAR,"HARLINE, LEIGH; WASHINGTON, NED","HERFURTH, PAUL C.",1940,Concert Band,MISSING
EN,13,ADAGIO AND ALLEGRO from CONCERTO GROSSO IN Bb,"HANDEL, G.F.","HERVIG, R.",1964,SAXOPHONE QUARTET,
CS,26,HELLO MY BABY,"HOWARD, JOE & EMERSON, IDA","HICKS, VAL",1972,,
LC,420,AMERICA...THE DREAM GOES ON,"WILLIAMS, JOHN","HIGGINS, J. AND LAVENDER, P.",1985,Concert Band,
LC,548,Disney At The Movies,,"Higgins, John",,Concert Band,
SP,105,DE MOLAY COMMANDERY,"HALL, R.B.","HILDRETH, R.E.",1934,,
M,95,OUR DIRECTOR MARCH,"BIGELOW, F.E.","HILDRETH, R.E.",1923,,
LC,569,Symbol of Honor March,"Mesang, Ted","Hilliard, Quincy C.",2002,Concert Band,
EN,206,ENTRY OF THE GLADIATORS,"FUICK, JULIUS",HOLCOMBE & BATTLES,1986,WOODWIND QUINTET,MISSING BASSOON;SCORE
EN,81,12 DAYS OF CHRISTMAS,TRADITIONAL,"HOLCOMBE, BILL",1980,WOODWIND QUINTET,
EN,189,A CHRISTMAS JAZZ SUITE,VARIOUS,"HOLCOMBE, BILL",1981,BRASS QUINTET,MISSING SCORE
EN,139,AMERICAN CHRISTMAS FOLK SUITE,TRADITIONAL,"HOLCOMBE, BILL",1989,BRASS QUINTET,MISSING SCORE
EN,2,"BARBER OF SEVILLE, THE","ROSSINI, GIAOCCHINO ","HOLCOMBE, BILL",2001,WOODWIND QUINTET,
EN,45,ENTRY OF THE GADIATORS,FUCIK- LAURENDEAU,"HOLCOMBE, BILL",2001,TUBA QUARTET,
LC,320,GOD BLESS AMERICA,"BERLIN, IRVING","HOLCOMBE, BILL",1974,Concert Band,
EN,190,HALLELUJAH CHORUS,"HANDEL, G.F.","HOLCOMBE, BILL",1992,BRASS QUINTET,MISSING SCORE
LC,268,LENNON/MCCARTNEY PORTRAIT,,"HOLCOMBE, BILL",1973,Concert Band,
LC,218,ROMANTIC OVERTURE,"GIOVANNINI, CAESAR","HOLCOMBE, BILL",1977,Concert Band,
EN,10,SELECTIONS FROM WATER MUSIC SUITE,"HANDEL, G.F.","HOLCOMBE, BILL",1992,WOODWIND QUINTET,
EN,5,ST. LOUIS BLUES,"HANDY, W.C","HOLCOMBE, BILL",1990,WOODWIND QUINTET,"MISSING FLUTE, OBOE, BASSON"
EN,88,"STARS AND STRIPES FOREVER, THE","SOUSA, JOHN PHILIP","HOLCOMBE, BILL",1981,WOODWIND QUINTET,
EN,131,"STARS AND STRIPES FOREVER, THE","SOUSA, JOHN PHILLIP","HOLCOMBE, BILL",1981,BRASS QUINTET,MISSING 2ND TRUMPET
EN,18,TIGER RAG,TRADITIONAL,"HOLCOMBE, BILL",1994,WOODWIND QUINTET,MISSING CLARINET
EN,187,WE THREE KINGS,TRADITIONAL,"HOLCOMBE, BILL",1992,BRASS QUINTET,MISSING SCORE
EN,57,SALVATION IS CREATED,"CHESNOKOV, PAVEL","HOLLAND, ROBERT",1997,TROMBONE QUARTET,
SB,288,In A Sentimental Mood,Ellington,Holman / Knowles,,,
SB,61,"PRIMROSE PATH, THE","HOLMAN, BILL","HOLMAN, BILL",1989,JAZZ ENSEMBLE,
SB,98,YESTERDAYS,"HOLMAN, BILL","HOLMAN, BILL",,JAZZ ENSEMBLE,
EN,70,ADAGIO PATHETIQUE,"GODARD, BENJ.","HOLMES, G.E.",1941,HORN QUARTET,
EN,72,ANDANTE CANTABILE,"TSCHAIKOWSKY, PETER","HOLMES, G.E.",1941,HORN QUARTET,
EN,1,CORONATION MARCH,"MEYERBEER, G.","HOLMES, G.E.",1985,SAX CHOIR,
SB,332,EVIL WAYS,"HENRY, SONNY","HOLMES, ROGER",1993,Jazz Ensemble,
LC,616,GOD BLESS THE U.S.A.,"GREENWOOD, LEE","HOLMES, ROGER",1986,Concert Band,
SB,163,Ornithology,,"Holmes, Roger",,Jazz Ensemble,
SB,195,"Stripper, The","Rose, David","Holmes, Roger",1988,Jazz Ensemble,
SB,2,ANYTHING GOES,"PORTER, COLE","HOOPER, LES",1984,JAZZ ENSEMBLE,
SB,14,COCKATOO,"BECKENSTEIN, CATALLO, SCHUMAN, ETC.","HOOPER, LES",1989,JAZZ ENSEMBLE,MISSING SCORE
SB,15,COFFEE AND CASTANETS,"HOOPER, LES","HOOPER, LES",1981,JAZZ ENSEMBLE,
SB,107,Down By The Riverside,,"Hooper, Les",1989,JAZZ ENSEMBLE,
SB,114,HIP N' COOL,"HOOPER, LES","HOOPER, LES",1983,JAZZ ENSEMBLE,
SB,50,MR. CASUAL,"HOOPER, LES","HOOPER, LES",1983,JAZZ ENSEMBLE,
SB,62,"RESIDUAL FIRE DANCE, THE","HOOPER, LES","HOOPER, LES",1981,JAZZ ENSEMBLE,
SB,69,SENORITA BLUES,"HOOPER, LES","HOOPER, LES",1982,JAZZ ENSEMBLE,
LC,182,SALVATION IS CREATED/&/AWAKE,TSCHESNOKOFF/&/WAGNER,"HOUSEKNECHT, BRUCE",1957,Concert Band,MISSING 2ND BASSOON; EB CONTRABASS CLARINET
EN,114,"FANCIES, TOYES AND DREAMS","FARNABY, GILES","HOWARTH, ELGAR",1991,BRASS QUINTET,
EN,65,BELIEVE ME IF ALL THOSE ENDEARING YOUNG CHARMS,"MANTIA, SIMONE","HOWEY, HENRY",2006,BRASS QUINTET,MISSING TUBA SOLO
M,221,HOCH HEIDECKSBURG!(THE WATCH TOWER)MARSCH,"HERZER, R.","HUBERT, VON RICHARD",,,
LC,379,FESTIVE OVERTURE OP. 96,"SHOSTAKOVICH, DMITRI","HUNSBERGER, DONALD",1975,Concert Band,
LC,88,GALOP,"SHOSTAKOVICH, DMITRI","HUNSBERGER, DONALD",1971,Concert Band,
LC,484,HAIL TO THE SPIRIT OF LIBERTY,"SOUSA, JOHN PHILIP","HUNSBERGER, DONALD",1983,Concert Band,
LC,485,JACK TAR,"SOUSA, JOHN PHILIP","Hunsberger, Donald",1983,Concert Band,
LC,109,LADY OF SPAIN,"EVANS, TOLCHARD","HUNSBERGER, DONALD",1931,Concert Band,
LC,486,"LOYAL LEGION, THE","SOUSA, JOHN PHILIP","Hunsberger, Donald",1982,Concert Band,
CS,6,AURA LEE,"POULTON, GEORGE R.","HUNTER, R., PARKER, A., & SHAW, R.",1954,,
LC,1,BALLET PARISIEN,"OFFENBACK, JACQUES","ISAAC, MERLE",1953,Concert Band,
LC,305,SCHERZO FROM SYM. NO 7 (ABRIDGED),"DVORAK, ANTONIN","ISAAC, MERLE J.",1974,Concert Band,
EN,166,RENAISSANCE DANCES,"SUSATO, TYLMAN","IVESON, JOHN",1991,BRASS QUINTET,
EN,162,Selections From Porgy and Bess,George Gershwin,Jack Gale,1935,BRASS QUINTET,
LC,321,SCHERZO AND NOCTURNE FROM A MOORSIDE SUITE,"HOLST, GUSTAV","JACOB, GORDON",1970,Concert Band,MISSING 1ST & 2ND HORN
EN,117,BLUE SKIES,"BERLIN, IRVING","JARVIS, JEFF",1927,BRASS QUINTET,MISSING SCORE
EN,26,THAT OLD BLACK MAGIC,"MERCER, JOHNNY","JARVIS, JEFF",2002,BARTIONE-TUBA QUARTET,
SB,131,Get It On,,Jennings,,Jazz Ensemble,
SB,130,Spain,"COREA, CHICK",Jennings,,Jazz Ensemble,
LC,501,ALADDEN,"MENKEN, ALAN","JENNINGS, PAUL",1992,Concert Band,
SP,155,HEY LOOK ME OVER,"COLEMAN, CY","JENNINGS, PAUL",1980,,
SB,347,HILL STREET BLUES,"POST, MIKE","JENNINGS, PAUL",1982,JAZZ ENSEMBLE,
SB,192,"Mork and Mindy, Theme from","Botkin Jr., Perry","Jennings, Paul",1979,Jazz Ensemble,
SB,327,Rosanna,"Paich, David","Jennings, Paul",,Jazz Ensemble,
SB,309,Vehicle,"Peterik, James M.","Jennings, Paul",,Jazz Ensemble,
EN,78,ADAGIO CANTABILE,"BEETHOVAN, L. VAN","JOHNSON, CLAIR W.",1963,CLARINET QUINTET,
LC,264,"MOZART FESTIVAL, A",MOZART,"JOHNSON, CLAIR W.",1957,Concert Band,
LC,117,MOZART OVERTURES,"MOZART, W.A.","JOHNSON, CLAIR W.",1956,Concert Band,MISSING TUBA;BASSOON
LC,232,"SCHEHERAZADE, THEMES FROM","RIMSKY-KORSAKOFF, NICHOLAS","JOHNSON, CLAIR W.",1952,Concert Band,
LC,62,THEMES from CAUCASIAN SKETCHES,"IPPOLITOV-IVANOV, M.","JOHNSON, CLAIR W.",1955,Concert Band,
LC,522,RADETSKY MARCH,"STRAUSS, JOHANN","JOHNSON, STUART",1989,Concert Band,MISSING SCORE
SB,298,BLUE BOSSA,"DURHAM, KENNY","JOHNSON, SY",1961,,
LC,469,ENGLISH DANCES FOR BAND,"ARNOLD, MALCOLM","JOHNSTONE, MAURICE",1965,Concert Band,
SB,284,Moanin',Timmons,Jones / Knowles,,,
SB,103,"Blues For the ""Wee"" One","JONES, THAD","JONES, THAD",1982,JAZZ ENSEMBLE,
LC,560,We Are Americans,"Condon, Maureen","Kaska, Kevin",2001,Concert Band & Vocal,
SB,304,WHEN YOU GO,"BROWN, RAY","KEEZER, GEOFF",1997,,
M,237,DEPARTED COMRADES (FUNERAL MARCH),,KELLER,,,
LC,504,AMERICANS WE,"FILLMORE, HENRY","Kennell, Frederick",1979,Concert Band,MISSING SCORE; HORN 1
LC,503,"KLAXON, THE","FILLMORE, HENRY","Kennell, Frederick",1984,Concert Band,MISSING SCORE; HORN 1
LC,55,DER FREISCHUTZ,"WEBER, CARL MARIA von","KENT, H.R",1956,Concert Band,MISSING OBOE;2ND Eb HORN
SB,146,Malaguena,,Kerchner,,Jazz Ensemble,
EN,101,CONTRAPUNCTUS I,"BACH, J.S.","KING, ROBERT",1960,BRASS QUINTET,
EN,200,FIVE PIECES,"HOLBORNE, ANTHONY","KING, ROBERT",1961,BRASS QUINTET,MISSING SCORE
EN,195,GALLIARD BATTAGLIA,"SCHEIDT, SAMUEL","KING, ROBERT",1983,BRASS QUINTET,MISSING SCORE
EN,197,RONDEAU,"MOURET, JEAN JOSEPH","KING, ROBERT",1972,BRASS QUINTET,MISSING SCORE
EN,196,SONATA FROM DIE BANKELSANGERLIEDER,ANONYMOUS,"KING, ROBERT",1958,BRASS QUINTET,MISSING SCORE
EN,121,THREE PIECES,"PEZEL, JOHANN","KING, ROBERT",1960,BRASS QUINTET,
EN,150,"WATER MUSIC, THREE PIECES FROM THE","HANDEL, GEORGE FREDERICK","KING, ROBERT",1955,BRASS CHOIR,
